iteration,invoice_period,interest_discounted,interest_undiscounted,retained_discounts,total
0,2025-11-01,52396.21173730861,52396.21173730861,0.0,104792.42347461722
0,2025-12-01,75256.76219325473,75256.76219325473,0.0,150513.52438650947
0,2026-01-01,68870.0716646037,68870.0716646037,0.0,137740.1433292074
0,2026-02-01,58871.42094125788,58871.42094125788,0.0,117742.84188251576
0,2026-03-01,47870.2740835984,47870.2740835984,0.0,95740.5481671968
0,2026-04-01,38758.361337320726,38758.361337320726,0.0,77516.72267464145
0,2026-05-01,33925.91010325015,33925.91010325015,0.0,67851.8202065003
0,2026-06-01,34612.93007205432,34612.93007205432,0.0,69225.86014410864
0,2026-07-01,40600.18458417741,40600.18458417741,0.0,81200.36916835482
0,2026-08-01,50256.26708108951,50256.26708108951,0.0,100512.53416217901
0,2026-09-01,60961.556504160544,60961.556504160544,0.0,121923.11300832109
0,2026-10-01,69844.63660419299,69844.63660419299,0.0,139689.27320838597
0,2026-11-01,74515.27998036148,74515.27998036148,0.0,149030.55996072295
0,2026-12-01,73713.16294550052,73713.16294550052,0.0,147426.32589100103
0,2027-01-01,67657.5221591659,67657.5221591659,0.0,135315.0443183318
1,2025-11-01,52385.1100800055,52385.1100800055,0.0,104770.220160011
1,2025-12-01,75240.81686522605,75240.81686522605,0.0,150481.6337304521
1,2026-01-01,68855.479542221,68855.479542221,0.0,137710.959084442
1,2026-02-01,58858.947323059794,58858.947323059794,0.0,117717.89464611959
1,2026-03-01,47860.13137747019,47860.13137747019,0.0,95720.26275494038
1,2026-04-01,38750.14925421527,38750.14925421527,0.0,77500.29850843054
1,2026-05-01,33918.7219151126,33918.7219151126,0.0,67837.4438302252
1,2026-06-01,34605.59631880812,34605.59631880812,0.0,69211.19263761624
1,2026-07-01,40591.58225739171,40591.58225739171,0.0,81183.16451478342
1,2026-08-01,50245.61883313475,50245.61883313475,0.0,100491.2376662695
1,2026-09-01,60948.640030115304,60948.640030115304,0.0,121897.28006023061
1,2026-10-01,69829.83799195878,69829.83799195878,0.0,139659.67598391755
1,2026-11-01,74499.49175684762,74499.49175684762,0.0,148998.98351369525
1,2026-12-01,73697.54467374734,73697.54467374734,0.0,147395.08934749468
1,2027-01-01,67643.18695056808,67643.18695056808,0.0,135286.37390113616
2,2025-11-01,52384.97914762248,52384.97914762248,0.0,104769.95829524496
2,2025-12-01,75240.62880683623,75240.62880683623,0.0,150481.25761367247
2,2026-01-01,68855.30744346991,68855.30744346991,0.0,137710.61488693982
2,2026-02-01,58858.80020983959,58858.80020983959,0.0,117717.60041967918
2,2026-03-01,47860.011754908686,47860.011754908686,0.0,95720.02350981737
2,2026-04-01,38750.05240132376,38750.05240132376,0.0,77500.10480264752
2,2026-05-01,33918.63713798638,33918.63713798638,0.0,67837.27427597276
2,2026-06-01,34605.5098248944,34605.5098248944,0.0,69211.0196497888
2,2026-07-01,40591.48080198602,40591.48080198602,0.0,81182.96160397204
2,2026-08-01,50245.49324823859,50245.49324823859,0.0,100490.98649647718
2,2026-09-01,60948.48769387569,60948.48769387569,0.0,121896.97538775139
2,2026-10-01,69829.66345787689,69829.66345787689,0.0,139659.32691575377
2,2026-11-01,74499.30555134048,74499.30555134048,0.0,148998.61110268097
2,2026-12-01,73697.36047264266,73697.36047264266,0.0,147394.7209452853
2,2027-01-01,67643.01788184515,67643.01788184515,0.0,135286.0357636903
3,2025-11-01,52385.346487685994,52385.346487685994,0.0,104770.69297537199
3,2025-12-01,75241.15641795329,75241.15641795329,0.0,150482.31283590657
3,2026-01-01,68855.79027869139,68855.79027869139,0.0,137711.58055738278
3,2026-02-01,58859.21294638657,58859.21294638657,0.0,117718.42589277314
3,2026-03-01,47860.34736446783,47860.34736446783,0.0,95720.69472893566
3,2026-04-01,38750.32412896289,38750.32412896289,0.0,77500.64825792579
3,2026-05-01,33918.87498621164,33918.87498621164,0.0,67837.74997242328
3,2026-06-01,34605.752489688464,34605.752489688464,0.0,69211.50497937693
3,2026-07-01,40591.76544230427,40591.76544230427,0.0,81183.53088460854
3,2026-08-01,50245.845585549425,50245.845585549425,0.0,100491.69117109885
3,2026-09-01,60948.915083973094,60948.915083973094,0.0,121897.83016794619
3,2026-10-01,69830.15312559131,69830.15312559131,0.0,139660.30625118263
3,2026-11-01,74499.82796406408,74499.82796406408,0.0,148999.65592812817
3,2026-12-01,73697.8772618734,73697.8772618734,0.0,147395.7545237468
3,2027-01-01,67643.49221610834,67643.49221610834,0.0,135286.98443221668
4,2025-11-01,52382.85875639068,52382.85875639068,0.0,104765.71751278135
4,2025-12-01,75237.58328554,75237.58328554,0.0,150475.16657108
4,2026-01-01,68852.52038136657,68852.52038136657,0.0,137705.04076273314
4,2026-02-01,58856.41777720509,58856.41777720509,0.0,117712.83555441018
4,2026-03-01,47858.07452116479,47858.07452116479,0.0,95716.14904232958
4,2026-04-01,38748.48391217515,38748.48391217515,0.0,77496.9678243503
4,2026-05-01,33917.26421044204,33917.26421044204,0.0,67834.52842088407
4,2026-06-01,34604.10909474621,34604.10909474621,0.0,69208.21818949241
4,2026-07-01,40589.83777718428,40589.83777718428,0.0,81179.67555436856
4,2026-08-01,50243.459457158504,50243.459457158504,0.0,100486.91891431701
4,2026-09-01,60946.02067678416,60946.02067678416,0.0,121892.04135356832
4,2026-10-01,69826.83695668275,69826.83695668275,0.0,139653.6739133655
4,2026-11-01,74496.29003664838,74496.29003664838,0.0,148992.58007329676
4,2026-12-01,73694.37741834932,73694.37741834932,0.0,147388.75483669864
4,2027-01-01,67640.27988968897,67640.27988968897,0.0,135280.55977937795
